>Ver, 2.01, DATE, 2022-07-10, TIME,17,55,52,Qmax, 6.9, Tpeak, 7.1, Ttotal, 21.7,  Volscale, 105, Volvisual, 105, Calib, 39
 18.2,  78.9,  78.9,   3.2
 18.3,  79.2,  79.2,   3.3
 18.4,  79.3,  79.3,   3.3
 18.5,  79.8,  79.8,   3.3
 18.6,  80.3,  80.3,   3.4
 18.7,  80.6,  80.6,   3.5
 18.8,  80.9,  80.9,   3.7
 18.9,  81.1,  81.1,   3.8
 19.0,  81.6,  81.6,   3.7
 19.1,  82.1,  82.1,   3.9
 19.2,  82.2,  82.2,   3.9
 19.3,  83.0,  83.0,   3.8
 19.4,  83.2,  83.2,   3.9
 19.5,  83.6,  83.6,   3.6
 19.6,  84.1,  84.1,   3.6
 19.7,  84.3,  84.3,   3.6
 19.8,  84.3,  84.3,   3.4
 19.9,  85.1,  85.1,   3.3
 20.0,  85.4,  85.4,   3.5
 20.1,  85.7,  85.7,   3.6
 20.2,  86.0,  86.0,   3.8
 20.3,  86.3,  86.3,   4.0
 20.4,  86.5,  86.5,   3.9
 20.5,  87.3,  87.3,   4.0
 20.6,  87.8,  87.8,   4.1
 20.7,  88.0,  88.0,   3.9
 20.8,  88.6,  88.6,   3.8
 20.9,  88.7,  88.7,   3.6
 21.0,  89.2,  89.2,   3.3
 21.1,  89.4,  89.4,   3.3
 21.2,  89.8,  89.8,   3.3
 21.3,  90.1,  90.1,   3.4
 21.4,  90.3,  90.3,   3.5
 21.5,  90.6,  90.6,   3.5
 21.6,  91.3,  91.3,   3.5
 21.7,  91.6,  91.6,   3.5
 21.8,  91.9,  91.9,   3.5
 21.9,  92.2,  92.2,   3.5
 22.0,  92.5,  92.5,   3.4
 22.1,  92.8,  92.8,   3.2
 22.2,  93.2,  93.2,   3.0
 22.3,  93.6,  93.6,   3.0
 22.4,  94.0,  94.0,   3.1
 22.5,  94.1,  94.1,   3.2
 22.6,  94.2,  94.2,   3.3
 22.7,  94.4,  94.4,   3.1
 22.8,  95.2,  95.2,   3.0
 22.9,  95.6,  95.6,   3.1
 23.0,  95.8,  95.8,   3.1
 23.1,  96.1,  96.1,   2.9
 23.2,  96.2,  96.2,   2.6
 23.3,  96.3,  96.3,   2.2
 23.4,  96.9,  96.9,   2.0
 23.5,  97.1,  97.1,   2.0
 23.6,  97.2,  97.2,   1.9
 23.7,  97.2,  97.2,   1.9
 23.8,  97.5,  97.5,   1.8
 23.9,  97.5,  97.5,   1.8
 24.0,  97.8,  97.8,   1.9
 24.1,  98.1,  98.1,   2.0
 24.2,  98.3,  98.3,   2.1
 24.3,  98.3,  98.3,   2.0
 24.4,  98.8,  98.8,   1.9
 24.5,  99.0,  99.0,   1.9
 24.6,  99.0,  99.0,   1.8
 24.7,  99.2,  99.2,   1.8
 24.8,  99.4,  99.4,   1.9
 24.9,  99.5,  99.5,   2.0
 25.0,  99.6,  99.6,   2.2
 25.1,  99.9,  99.9,   2.6
 25.2, 100.3, 100.3,   2.8
 25.3, 100.6, 100.6,   2.9
 25.4, 100.8, 100.8,   2.7
 25.5, 101.2, 101.2,   2.3
 25.6, 101.7, 101.7,   1.8
 25.7, 101.9, 101.9,   1.4
 25.8, 101.7, 101.7,   0.9
 25.9, 101.6, 101.6,   0.5
 26.0, 101.7, 101.7,   0.1
 26.1, 101.7, 101.7,  -0.0
 26.2, 101.8, 101.8,   0.0
 26.3, 101.6, 101.6,   0.0
 26.4, 101.8, 101.8,   0.0
 26.5, 101.7, 101.7,   0.0
 26.6, 101.7, 101.7,  -0.1
 26.7, 101.7, 101.7,  -0.0
 26.8, 101.6, 101.6,   0.1
 26.9, 101.8, 101.8,   0.4
 27.0, 101.7, 101.7,   1.2
 27.1, 101.6, 101.6,   1.8
 27.2, 101.7, 101.7,   2.4
 27.3, 102.1, 102.1,   2.8
 27.4, 102.6, 102.6,   2.8
 27.5, 103.6, 103.6,   2.7
